i: 4, j: 2, time: 16
i: 4, j: 2, time: 8
i: 5, j: 0, time: 4
i: 3, j: 0, time: 16
i: 3, j: 2, time: 4
i: 6, j: 0, time: 16
i: 6, j: 0, time: 8
i: 2, j: 0, time: 8
i: 2, j: 1, time: 20
i: 0, j: 1, time: 33
i: 1, j: 0, time: 30
i: 2, j: 0, time: 36
i: 2, j: 0, time: 30
i: 2, j: 1, time: 30
i: 3, j: 1, time: 51
i: 3, j: 3, time: 12
i: 2, j: 1, time: 51
i: 6, j: 0, time: 12
i: 2, j: 2, time: 25
i: 0, j: 2, time: 45
i: 0, j: 0, time: 45
i: 0, j: 3, time: 18
i: 1, j: 1, time: 27
i: 2, j: 1, time: 36
i: 2, j: 1, time: 18
i: 2, j: 2, time: 18
i: 2, j: 0, time: 18
i: 0, j: 2, time: 43
i: 0, j: 0, time: 43
i: 0, j: 2, time: 31
i: 0, j: 3, time: 43
i: 0, j: 3, time: 37
i: 1, j: 1, time: 46
i: 1, j: 1, time: 34
i: 2, j: 1, time: 40
i: 2, j: 1, time: 34
i: 2, j: 2, time: 31
i: 0, j: 0, time: 68
i: 0, j: 2, time: 54
i: 0, j: 0, time: 28
i: 2, j: 2, time: 31
i: 3, j: 1, time: 31
i: 1, j: 1, time: 40
i: 3, j: 3, time: 34
i: 4, j: 1, time: 37
i: 4, j: 1, time: 31
i: 0, j: 1, time: 28
i: 4, j: 2, time: 34
i: 0, j: 2, time: 28
i: 2, j: 2, time: 49
i: 2, j: 2, time: 37
i: 3, j: 1, time: 49
i: 1, j: 1, time: 49
i: 3, j: 1, time: 37
i: 3, j: 3, time: 43
i: 4, j: 1, time: 46
i: 4, j: 1, time: 40
i: 0, j: 1, time: 46
i: 4, j: 2, time: 43
i: 0, j: 2, time: 37
i: 1, j: 1, time: 15
i: 1, j: 0, time: 13
i: 2, j: 2, time: 15
i: 0, j: 2, time: 17
i: 2, j: 2, time: 7
i: 3, j: 2, time: 7
i: 3, j: 3, time: 11
i: 3, j: 1, time: 11
i: 0, j: 3, time: 36
i: 0, j: 1, time: 36
i: 1, j: 0, time: 30
i: 2, j: 2, time: 33
i: 2, j: 2, time: 27
